,tweet,label
0,blackman tide TAG TAG queer gaywad,1
1,cb baby TAG alsarabsss hes a beaner smh you can tell hes a mexican,1
2,devilgrimz TAG you're fucking gay blacklisted hoe holding out for TAG anyway,1
3,markroundtreejr lmfaoooo i hate black people this is why there's black people and niggers,1
4,nochillpaz at least i'm not a nigger lmfao,1
5,notoriousbm TAG ariza is a snake and a coward but at least he isn't a cripple like your hero roach lmaoo,1
6,rtnba drakes new shoes that will be released by nike jordan yes there's glitter on the shoes dudes a fag,1
7,theomaxximus TAG halloween was yesterday stupid nigger,1
8,ashlingwilde TAG is bored supposed to be cute you faggot sometimes,1
9,bigbootybishopp TAG lassen cc the coach wants me i feel it youll get more my nig no doubt,1
10,jayswaggkillah jackies a retard TAG at least i can make a grilled cheese,1
11,jgabsss stacey dash won baddest bitch evaaaa,1
12,don't worry about the nigga you see worry about the nigga you don't see dat's da nigga fuckin yo bitch,1
13,hey go look at that video of the man that found the kidnapped girls in ohio what a nigger TAG,1
14,let's kill cracker babies wtf did i just hear wow,1
15,my grandma used to call me a porch monkey all the time come to think of it she did refer to a broken bottle as a nigger knife,1
16,nah its you TAG yo i thought some photoshopped my face on that faggot smmfh i hate yall,1
17,our people now is the time for the aryan race stand up and say no more before the mongerls turn the world into a ghetto slum,1
18,these sour apple bitter bitches i'm not fuckin wit em,1
19,we hate niggers we hate faggots and we hate spics kkk rally,1
20,we're out here and we're queer hut we like it in our butt,1
21,who the fuck you callin jiggaboo nigga,1
22,why people think gay marriage is okay is beyond me sorry i don't want my future son seeing fags walking down the street holding hands an,1
23,you ain't gunna do shit spear chucker,1
24,you ol trout mouth ass bitch deeeeaaaadd,1
25,ayo i even kill handicapped and crippled bitches look at my scalp real close and you'll see triple sixes,1
26,fuck you you pussy ass hater go suck a dick and die quick someone to me in youtube comments i think we'd be good friends,1
27,on my way to fuck your bitch in the name of the lord mr race,1
28,poor whitey,1
29,#azmonsoon lot of rain too bad it wasn't enough to wash away the teabagger racist white trash in the state TAG TAG TAG,1
30,#california is full of white trash,1
31,#california is full of white trash who moved from TAG,1
32,#dtla is trash because of non-europeans are allowed to live there,1
33,#dutch farmers are white trash,1
34,#dutch people who live outside of TAG are all white trash,1
35,#iowa is full of white trash,1
36,#jesuschrist was straight gt that's why the TAG killed him TAG TAG gt,1
37,#minnesota is full of white trash,1
38,#reasonswecantbetogether if u was talkin to my nig or smashed da homies,1
39,#rebelscience is using an actual woman as a genetic engineering lab for all natural clones or something TAG TAG,1
40,#slightlyadjusted TAG alls niggers wanna do is fuck tweet and drink pineapple soda all day,1
41,#somethingigetalot are you asian black hawaiian gay retarded drunk,1
42,#southcarolina is full of white trash,1
43,#thingsiwillteachmychild how to play deez niggas n bitches dat be snakes,1
44,#trayvonmartin referred to zimmerman as a creepy ass cracker racist thug,1
45,#tweetlikepontiacholmes i do the pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,1
46,#vinitahegwood can get a job at the naacp or as the ag i hear they like diversity and tolerance as long as you ain't a cracker TAG,1
47,#virginia is full of white trash,1
48,#westvirginia is full of white trash,1
49,#faggots are merely a TAG indicator that something is wrong gt do not celebrate as unique indiviuals for they are TAG gt,1
50,#firefighter is a job for white trash,1
51,#milesthompson TAG TAG TAG,1
52,bossmobbe racist all month fuck u honkey,1
53,TAG lmfao TAG if you watching porn amp beating off amp yo homie text u amp it show his name in the banner you're a faggot,1
54,fucc nicca yu pose to be pullin up,1
55,i just said that TAG my tl gotta chill with this pretty face challenge foolishness y'all hoes agg,1
56,rt TAG them st charlotte goon niccas gon fkkk around and burn bank of america stadium down,1
57,TAG they recruited buku fags in here a warehouse is no place for them,1
58,lbum de fotos gaywrites in the making a project by and for queer students at harvard highlights the,1
59,alexadelsanter this is awkward u fag TAG TAG wonder who's awesome tank that is,1
60,bixxhmakemerich if u ask me every bitch gay or bi,1
61,crowdifornia we agree do you fuck yes i do send those illegal wetbacks home,1
62,dickfurari hell ya they should make more malt liquor ads like this dis be heaven fo a colored man,1
63,freddiegibbs tea bag a bitch pahahaha,1
64,funnypicsdepot fucking white people bitch wut,1
65,glitteredinpink TAG you like you needs to you a hoe i'm breaking suck my dick,1
66,milf chronicles dudes shaving without it being for an athletic purpose is gay af you're retarded,1
67,maxwell larsen when you live this gay you can't be afraid of two black dicks in your butt you fucking queer,1
68,mikeypdacav i love the song john doe TAG TAG TAG faggots,1
